session_id,date,track,session_start_time,lap_number,lap_timestamp,lap_time_s,sector_1_s,sector_2_s,sector_3_s,max_rpm,max_speed_kmh,avg_speed_kmh,max_lateral_g,max_longitudinal_g,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,wind_direction_deg,wind_gust_kmh,rainfall_mm,tyre_pressure_psi,front_sprocket,rear_sprocket,notes,rf_pressure_cold,rr_pressure_cold,lf_pressure_cold,lr_pressure_cold,rf_pressure_hot,rr_pressure_hot,lf_pressure_hot,lr_pressure_hot
20251220_S1,2025-12-20,Go Kart Club of Victoria,,13,,44.36,,,,14605.0,98.0,71.2275167785235,1.183,1.071,20,62,1008,13,163,28,0,,,,,12.0,12.0,12.0,12.0,11.0,13.5,14.0,15.0
20260111_S1,2026-01-11,Go Kart Club of Victoria,,9,,45.2,,,,14738.0,98.4,69.98061674008811,1.159,1.072,17,53,1019,20,179,44,0,,,,,12.0,12.0,12.0,13.0,12.0,14.0,15.0,15.0
20260111_S2,2026-01-11,Go Kart Club of Victoria,,13,,44.44,,,,15022.0,100.2,71.07628635346758,1.189,1.077,18,52,1020,20,183,44,0,,,,,12.0,12.0,12.0,13.0,12.0,14.0,15.0,15.0
20260111_S3,2026-01-11,Go Kart Club of Victoria,,5,,44.49,,,,14673.0,98.5,70.79334811529934,1.169,1.067,18,52,1020,20,183,44,0,,,,,12.0,12.0,12.0,13.0,12.0,14.0,15.0,15.0
20260126_S1,2026-01-26,Go Kart Club of Victoria,,8,,43.79,,,,14619.0,97.7,70.75959821428572,1.19,1.077,23,55,1011,4,182,12,0,,,,,11.0,11.0,11.0,12.0,15.0,15.0,15.0,14.0
20260126_S2,2026-01-26,Go Kart Club of Victoria,,12,,43.62,,,,14687.0,99.0,70.85300668151447,1.168,1.077,25,49,1011,5,187,14,0,,,,,11.0,11.0,10.0,12.0,15.0,15.0,15.0,14.0
20260126_S3,2026-01-26,Go Kart Club of Victoria,,8,,43.69,,,,14587.0,98.0,71.60112866817157,1.197,1.078,25,49,1011,5,189,16,0,,,,,11.0,11.0,10.0,12.0,15.0,15.0,14.0,14.0
20260208_S1,2026-02-08,Go Kart Club of Victoria,,9,,44.82,,,,,,,,,25,57,1014,15,2,33,0,,,,,11.0,11.0,11.0,13.0,13.0,14.0,14.0,14.0
20260208_S2,2026-02-08,Go Kart Club of Victoria,,11,,44.59,,,,,,,,,25,56,1014,15,359,33,0,,,,,11.0,11.0,12.0,13.0,14.0,15.0,15.0,14.0
20260208_S3,2026-02-08,Go Kart Club of Victoria,,12,,44.22,,,,14436.0,96.8,70.39070796460177,1.192,1.085,26,54,1014,14,345,33,0,,,,,11.0,11.0,12.0,12.0,14.0,15.0,15.0,14.0
20260315_S1,2026-03-15,Go Kart Club of Victoria,,12,,44.16,,,,14602.0,97.0,70.69109131403118,1.181,1.069,19,61,1022,3,124,12,0,,,,,11.0,11.0,11.0,12.0,12.0,13.5,12.5,14.0
20260315_S2,2026-03-15,Go Kart Club of Victoria,,12,,43.2,,,,14559.0,97.3,72.13477272727273,1.194,1.062,22,54,1021,5,157,16,0,,,,,11.0,11.0,11.0,12.0,12.0,14.0,15.0,15.0
