Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,11446,766,560,0,885,1027,5762,0,-37831081,144913773,130
1,11419,758,560,0,879,1024,5454,0,-37831081,144913773,130
1,11286,748,560,0,874,1022,5177,0,-37831067,144913791,130
1,11198,738,560,0,870,1008,4897,0,-37831054,144913808,130
1,11198,733,560,0,868,1003,4596,0,-37831041,144913825,130
1,11293,731,561,0,863,1000,4196,0,-37831026,144913838,130
1,11419,731,561,0,863,997,3812,0,-37831011,144913851,130
1,11655,730,560,0,860,991,3423,0,-37830994,144913863,130
1,11623,732,560,0,867,986,3030,0,-37830977,144913875,130
1,11569,737,561,0,872,980,2656,0,-37830961,144913883,130
1,11668,742,561,0,888,980,2207,0,-37830942,144913891,130
1,11476,750,562,0,900,979,1748,0,-37830924,144913896,130
1,11625,758,562,0,920,977,1376,0,-37830906,144913901,130
1,11661,764,562,0,927,978,952,0,-37830886,144913903,130
1,11718,774,562,0,940,977,698,0,-37830867,144913905,130
1,11808,782,562,0,947,998,358,0,-37830847,144913906,130
1,11907,789,562,0,951,1014,150,0,-37830829,144913906,130
1,11808,787,561,0,948,1024,35986,0,-37830809,144913905,130
1,11406,776,561,0,951,1028,35866,0,-37830789,144913905,130
1,11310,768,561,0,958,1032,35721,0,-37830769,144913901,130
1,11113,759,561,0,959,1037,35570,0,-37830749,144913900,130
1,10733,743,561,0,959,1041,35463,0,-37830731,144913896,130
1,10706,731,561,0,959,1033,35343,0,-37830711,144913895,130
1,10185,717,561,0,955,1040,35178,0,-37830692,144913890,130
1,10353,703,560,0,947,1033,35050,0,-37830676,144913886,130
1,10072,691,560,0,943,1038,34988,0,-37830657,144913881,130
1,9868,677,560,0,938,1032,34870,0,-37830641,144913876,130
1,9784,664,560,0,929,1031,34723,0,-37830624,144913871,130
1,9672,653,559,0,927,1033,34530,0,-37830607,144913866,130
1,9540,643,559,0,924,1041,34301,0,-37830592,144913860,130
1,9377,629,559,0,920,1046,34073,0,-37830577,144913851,130
1,9208,613,559,0,907,1050,33853,0,-37830562,144913843,130
1,8990,596,559,0,908,1050,33574,0,-37830549,144913835,130
1,8770,578,559,0,907,1057,33166,0,-37830536,144913825,130
1,8597,559,559,0,903,1066,32841,0,-37830522,144913813,130
1,8278,539,559,0,900,1070,32488,0,-37830512,144913801,130
1,7790,512,559,0,901,1061,32085,0,-37830502,144913790,130
1,7493,486,559,0,903,1044,31363,0,-37830494,144913776,130
1,7475,468,558,0,900,1026,30830,0,-37830487,144913763,130
1,7293,455,558,0,902,1011,30325,0,-37830481,144913750,130
1,7480,453,558,0,903,1000,29644,0,-37830477,144913735,130
1,7830,458,558,0,905,1000,28892,0,-37830476,144913721,130
1,7714,459,558,0,907,998,27873,0,-37830476,144913706,130
1,7580,458,558,0,909,987,27226,0,-37830476,144913691,120
1,7556,459,558,0,916,980,26528,0,-37830477,144913676,120
1,7491,467,557,0,917,981,25866,0,-37830482,144913663,120
1,7812,476,557,0,914,994,25147,0,-37830487,144913650,120
1,7950,481,557,0,913,985,24257,0,-37830494,144913638,120
1,8097,480,557,0,917,974,23734,0,-37830502,144913626,120
1,8261,491,557,0,927,956,23175,0,-37830511,144913615,120
1,8172,510,557,0,946,954,22796,0,-37830519,144913605,120
1,8072,525,557,0,978,954,22174,0,-37830529,144913596,120
1,8193,542,557,0,1005,958,21330,0,-37830542,144913588,120
1,8412,559,557,0,1031,965,20863,0,-37830556,144913581,120
1,8587,572,557,0,1049,966,20541,0,-37830569,144913575,120
1,8802,584,557,0,1064,972,20511,0,-37830582,144913568,120
1,9096,596,557,0,1082,971,20550,0,-37830594,144913560,120
1,9256,605,557,0,1088,977,20675,0,-37830607,144913551,120
1,9551,614,557,0,1094,972,20958,0,-37830619,144913541,120
1,9754,624,557,0,1094,976,21284,0,-37830632,144913530,120
1,9762,633,557,0,1102,973,21645,0,-37830644,144913518,120
1,9853,642,557,0,1099,972,21985,0,-37830656,144913505,120
1,9942,652,557,0,1098,974,22462,0,-37830666,144913490,120
1,10109,662,557,0,1102,976,22834,0,-37830676,144913473,120
1,10251,671,557,0,1104,976,23224,0,-37830686,144913456,120
1,10389,679,557,0,1102,975,23545,0,-37830694,144913438,120
1,10567,688,557,0,1101,974,23968,0,-37830701,144913420,120
1,10670,698,556,0,1099,973,24343,0,-37830707,144913400,120
1,10814,706,557,0,1083,972,24647,0,-37830714,144913380,120
1,10919,717,557,0,1073,970,25044,0,-37830719,144913358,120
1,10964,727,557,0,1055,969,25361,0,-37830722,144913335,120
1,11063,737,557,0,1040,970,25705,0,-37830726,144913313,120
1,11191,749,557,0,1026,972,26009,0,-37830727,144913290,120
1,11333,760,557,0,1018,973,26243,0,-37830729,144913266,120
1,11492,768,556,0,1010,974,26363,0,-37830731,144913243,120
