Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,11562,778,473,0,863,1022,5919,0,-37831072,144913771,140
1,11450,769,473,0,848,1012,5610,0,-37831072,144913771,140
1,11684,762,473,0,842,1007,5336,0,-37831061,144913790,140
1,11797,759,473,0,840,1000,5010,0,-37831047,144913808,140
1,11864,758,473,0,839,998,4675,0,-37831034,144913825,130
1,11792,758,473,0,848,1002,4217,0,-37831019,144913838,130
1,11857,760,473,0,861,1003,3732,0,-37831002,144913851,130
1,12033,758,473,0,863,1002,3232,0,-37830986,144913863,130
1,11985,755,473,0,867,991,2802,0,-37830967,144913873,130
1,11928,757,473,0,884,981,2441,0,-37830949,144913881,130
1,11988,762,473,0,897,977,1960,0,-37830931,144913888,130
1,11892,770,472,0,905,969,1602,0,-37830912,144913893,130
1,11954,779,472,0,923,968,1287,0,-37830892,144913896,130
1,11968,791,472,0,934,969,889,0,-37830874,144913900,130
1,12113,803,471,0,939,975,598,0,-37830854,144913900,130
1,12239,813,471,0,943,982,375,0,-37830832,144913900,130
1,12360,821,471,0,948,1001,211,0,-37830812,144913901,130
1,12505,826,471,0,949,1015,42,0,-37830792,144913900,130
1,12368,822,471,0,948,1041,35912,0,-37830771,144913898,130
1,11911,812,470,0,950,1046,35782,0,-37830751,144913896,130
1,11133,795,471,0,949,1061,35644,0,-37830729,144913895,130
1,10432,774,471,0,950,1055,35538,0,-37830709,144913893,130
1,10766,754,471,0,945,1050,35419,0,-37830689,144913890,130
1,9510,733,470,0,943,1049,35297,0,-37830671,144913886,130
1,10268,718,471,0,940,1042,35132,0,-37830652,144913881,130
1,9935,701,470,0,934,1042,34983,0,-37830634,144913878,130
1,10001,684,470,0,921,1030,34837,0,-37830617,144913873,130
1,9871,673,470,0,914,1035,34699,0,-37830601,144913866,130
1,9783,662,470,0,908,1040,34464,0,-37830584,144913861,130
1,9707,649,470,0,903,1047,34223,0,-37830569,144913853,130
1,9525,632,471,0,900,1042,33982,0,-37830552,144913845,130
1,9298,615,471,0,900,1042,33684,0,-37830539,144913836,130
1,9007,601,471,0,901,1046,33273,0,-37830526,144913826,130
1,8654,587,471,0,902,1048,32840,0,-37830512,144913815,130
1,8498,568,471,0,900,1047,32396,0,-37830501,144913803,130
1,8219,551,471,0,901,1040,31987,0,-37830491,144913790,130
1,7884,536,471,0,907,1039,31520,0,-37830481,144913776,130
1,7790,521,471,0,907,1028,30986,0,-37830474,144913763,130
1,7662,508,471,0,910,1033,30418,0,-37830467,144913748,130
1,7505,499,471,0,910,1036,29863,0,-37830462,144913733,130
1,7362,488,471,0,898,1030,29253,0,-37830459,144913720,130
1,7340,471,471,0,883,1023,28679,0,-37830457,144913705,130
1,7141,464,471,0,888,1002,28216,0,-37830456,144913690,120
1,7378,460,471,0,891,1009,27477,0,-37830457,144913675,120
1,7520,460,472,0,895,989,26846,0,-37830459,144913661,120
1,7575,462,472,0,904,984,26101,0,-37830464,144913646,130
1,7439,465,471,0,917,968,24952,0,-37830472,144913636,120
1,7509,476,471,0,921,965,23853,0,-37830482,144913625,120
1,7771,488,471,0,927,965,23244,0,-37830491,144913615,120
1,8016,501,471,0,938,962,22754,0,-37830499,144913605,120
1,7952,514,472,0,963,962,22202,0,-37830511,144913595,120
1,8006,527,471,0,989,960,21530,0,-37830522,144913586,130
1,8173,542,472,0,1011,970,21011,0,-37830534,144913580,130
1,8275,556,472,0,1036,971,20650,0,-37830547,144913573,130
1,8538,565,472,0,1060,976,20433,0,-37830559,144913566,130
1,8777,573,471,0,1074,967,20303,0,-37830572,144913560,130
1,8965,584,471,0,1088,977,20443,0,-37830584,144913551,130
1,9347,595,471,0,1094,974,20662,0,-37830597,144913543,130
1,9394,603,471,0,1104,979,20909,0,-37830611,144913533,130
1,9618,611,472,0,1100,969,21304,0,-37830622,144913521,130
1,9658,621,471,0,1104,971,21729,0,-37830634,144913510,130
1,9815,631,472,0,1099,966,22164,0,-37830644,144913495,130
1,9910,643,472,0,1102,970,22657,0,-37830656,144913480,130
1,10090,654,472,0,1100,972,22998,0,-37830664,144913465,130
1,10214,665,472,0,1101,975,23530,0,-37830672,144913446,130
1,10384,674,472,0,1098,975,23821,0,-37830681,144913430,130
1,10625,683,472,0,1094,972,24261,0,-37830689,144913410,130
1,10630,692,472,0,1086,967,24589,0,-37830694,144913391,130
1,10764,702,472,0,1071,965,24931,0,-37830701,144913370,130
1,10881,715,473,0,1061,963,25353,0,-37830704,144913350,130
1,10982,728,472,0,1045,966,25626,0,-37830707,144913328,130
1,11104,740,473,0,1035,966,25953,0,-37830711,144913305,130
1,11254,753,473,0,1027,974,26179,0,-37830712,144913281,130
1,11406,764,473,0,1016,972,26348,0,-37830714,144913258,130
1,11576,772,473,0,1010,972,26487,0,-37830716,144913235,130
1,11698,782,473,0,1001,969,26580,0,-37830717,144913210,130
1,11834,794,473,0,994,973,26636,0,-37830717,144913186,130
1,11988,804,473,0,989,971,26700,0,-37830719,144913161,130
1,12101,813,473,0,988,973,26740,0,-37830719,144913136,130
1,12274,824,473,0,985,976,26718,0,-37830721,144913110,130
1,12371,834,473,0,988,979,26724,0,-37830721,144913085,130
1,12507,840,473,0,990,977,26667,0,-37830722,144913058,120
1,12605,849,473,0,994,976,26645,0,-37830724,144913031,120
1,12736,858,472,0,996,980,26621,0,-37830726,144913005,130
1,12853,866,472,0,1000,982,26585,0,-37830727,144912978,130
1,12972,873,472,0,1004,992,26564,0,-37830729,144912951,130
1,13074,879,472,0,1008,1011,26538,0,-37830731,144912923,130
1,13155,880,472,0,1014,1028,26543,0,-37830732,144912896,130
1,12903,871,472,0,1021,1042,26560,0,-37830734,144912868,130
1,12523,857,472,0,1031,1038,26550,0,-37830736,144912840,130
1,12409,842,472,0,1044,1036,26572,0,-37830737,144912813,130
1,12033,828,471,0,1057,1036,26585,0,-37830739,144912786,130
1,12016,817,471,0,1068,1042,26638,0,-37830739,144912760,130
1,11841,803,471,0,1079,1042,26726,0,-37830741,144912733,130
1,11562,786,471,0,1089,1035,26808,0,-37830741,144912706,130
1,11310,772,471,0,1098,1030,26954,0,-37830741,144912681,130
1,11269,761,472,0,1105,1030,27127,0,-37830739,144912656,130
1,11183,750,472,0,1115,1030,27364,0,-37830737,144912633,130
1,11115,739,472,0,1123,1030,27623,0,-37830736,144912608,130
1,11033,729,472,0,1131,1038,27875,0,-37830732,144912585,130
1,10863,718,472,0,1134,1049,28201,0,-37830727,144912563,130
1,10653,703,472,0,1137,1062,28546,0,-37830721,144912540,130
1,10434,682,472,0,1136,1060,28918,0,-37830714,144912520,140
1,10102,658,472,0,1137,1055,29386,0,-37830706,144912500,140
1,9789,637,473,0,1133,1044,29819,0,-37830697,144912480,140
1,9451,620,472,0,1134,1047,30360,0,-37830687,144912463,140
1,9398,605,472,0,1134,1043,30861,0,-37830676,144912448,140
1,9062,587,472,0,1130,1040,31415,0,-37830664,144912435,140
1,9010,571,473,0,1125,1030,32022,0,-37830652,144912423,140
1,8832,560,473,0,1121,1022,32622,0,-37830639,144912415,140
1,8660,549,473,0,1120,1016,33272,0,-37830626,144912406,140
1,8417,542,473,0,1114,1001,33939,0,-37830612,144912401,140
1,8493,539,473,0,1110,992,34663,0,-37830599,144912400,140
1,8649,540,473,0,1112,997,35329,0,-37830586,144912398,140
1,8681,546,473,0,1111,1008,35925,0,-37830572,144912398,140
1,8760,545,473,0,1102,1008,538,0,-37830559,144912401,140
1,8297,537,473,0,1101,995,1252,0,-37830546,144912406,140
1,8298,537,473,0,1101,982,1834,0,-37830532,144912413,140
1,8531,543,473,0,1105,988,2390,0,-37830521,144912420,140
1,8904,549,472,0,1103,981,3048,0,-37830511,144912430,140
1,8824,553,472,0,1108,978,3635,0,-37830499,144912441,140
1,9057,559,472,0,1100,966,4085,0,-37830491,144912453,140
1,9019,570,472,0,1088,967,4646,0,-37830481,144912466,140
1,9077,583,472,0,1069,966,5181,0,-37830474,144912481,140
1,9056,595,472,0,1057,969,5857,0,-37830467,144912498,140
1,9101,606,472,0,1042,965,6324,0,-37830461,144912515,140
1,9269,617,472,0,1036,964,6825,0,-37830457,144912533,140
1,9463,630,471,0,1030,963,7125,0,-37830452,144912551,140
1,9621,643,471,0,1026,966,7307,0,-37830449,144912571,140
1,9810,656,471,0,1020,966,7472,0,-37830444,144912590,140
1,9975,668,471,0,1012,967,7598,0,-37830441,144912610,140
1,10157,679,471,0,1004,966,7738,0,-37830437,144912630,140
1,10305,692,471,0,999,969,7858,0,-37830434,144912651,140
1,10476,703,471,0,993,971,7915,0,-37830431,144912673,140
1,10660,714,472,0,989,973,7979,0,-37830429,144912695,150
1,10828,724,472,0,985,971,7980,0,-37830426,144912716,150
1,11005,733,472,0,982,970,7974,0,-37830422,144912738,150
1,11162,744,472,0,981,972,7952,0,-37830419,144912761,150
1,11288,755,471,0,982,972,7922,0,-37830416,144912783,150
1,11432,764,471,0,984,973,7883,0,-37830412,144912806,150
1,11603,774,471,0,987,972,7833,0,-37830407,144912830,150
1,11679,785,471,0,990,976,7776,0,-37830404,144912853,150
1,11841,794,472,0,995,978,7710,0,-37830399,144912878,150
1,11959,802,472,0,997,977,7665,0,-37830394,144912901,150
1,12082,810,472,0,1001,976,7650,0,-37830389,144912926,150
1,12234,818,472,0,1004,976,7631,0,-37830386,144912951,150
1,12315,827,473,0,1005,978,7611,0,-37830381,144912976,150
1,12461,836,472,0,1004,978,7593,0,-37830376,144913001,150
1,12541,843,472,0,1004,978,7608,0,-37830371,144913026,150
1,12671,851,473,0,1002,978,7625,0,-37830366,144913053,150
1,12774,860,473,0,999,980,7652,0,-37830361,144913078,150
1,12900,867,473,0,999,982,7667,0,-37830356,144913105,150
1,12989,874,473,0,998,982,7661,0,-37830351,144913131,150
1,13086,881,473,0,996,983,7665,0,-37830346,144913158,150
1,13181,887,473,0,998,981,7685,0,-37830341,144913185,150
1,13274,893,474,0,999,982,7680,0,-37830336,144913211,150
1,13357,900,474,0,1001,982,7671,0,-37830331,144913240,150
1,13452,907,474,0,1000,984,7661,0,-37830326,144913266,150
1,13544,913,474,0,999,985,7652,0,-37830319,144913295,150
1,13630,919,474,0,999,987,7653,0,-37830314,144913323,150
1,13683,924,474,0,1001,988,7664,0,-37830309,144913351,150
1,13786,928,474,0,996,988,7665,0,-37830304,144913380,150
1,13856,932,474,0,997,987,7678,0,-37830299,144913408,150
1,13892,937,474,0,999,989,7666,0,-37830292,144913436,150
1,13959,941,474,0,997,991,7654,0,-37830287,144913465,150
1,14018,945,474,0,995,989,7661,0,-37830282,144913493,150
1,14074,948,474,0,996,988,7680,0,-37830277,144913523,150
1,14134,952,474,0,999,989,7651,0,-37830271,144913551,150
1,14177,958,474,0,996,992,7644,0,-37830266,144913581,150
1,14238,960,474,0,997,992,7652,0,-37830261,144913610,150
1,14275,963,474,0,997,991,7637,0,-37830254,144913640,150
1,14330,967,474,0,998,992,7637,0,-37830249,144913670,150
1,14367,970,474,0,993,995,7624,0,-37830242,144913698,150
1,14426,972,474,0,996,992,7638,0,-37830237,144913728,150
1,14450,974,473,0,992,996,7624,0,-37830231,144913758,150
1,14499,976,473,0,990,996,7621,0,-37830226,144913788,150
1,14538,978,473,0,992,997,7621,0,-37830219,144913818,150
1,14566,977,474,0,993,998,7615,0,-37830214,144913848,150
1,14594,979,474,0,990,999,7582,0,-37830207,144913878,150
1,14602,980,474,0,992,1022,7593,0,-37830201,144913908,150
1,14605,978,474,0,995,1029,7564,0,-37830196,144913938,150
1,14450,967,473,0,994,1045,7548,0,-37830189,144913968,160
1,14104,952,474,0,999,1043,7555,0,-37830182,144913998,160
1,13726,937,474,0,1002,1054,7532,0,-37830177,144914028,160
1,13492,919,474,0,1006,1047,7517,0,-37830171,144914056,160
1,13131,899,474,0,1006,1041,7506,0,-37830166,144914085,170
1,12823,883,474,0,1010,1038,7508,0,-37830159,144914113,170
1,12363,871,474,0,1016,1037,7515,0,-37830154,144914140,170
1,12244,857,474,0,1024,1039,7532,0,-37830147,144914166,170
1,12170,842,474,0,1039,1035,7544,0,-37830142,144914193,180
1,12040,830,474,0,1052,1046,7575,0,-37830137,144914220,180
1,11841,817,474,0,1064,1047,7575,0,-37830132,144914245,180
1,11389,798,474,0,1075,1049,7639,0,-37830127,144914270,180
1,11017,780,474,0,1081,1036,7727,0,-37830124,144914295,180
1,10645,765,474,0,1082,1033,7845,0,-37830121,144914320,180
1,10845,752,474,0,1086,1025,8069,0,-37830117,144914343,180
1,10847,742,474,0,1093,1019,8249,0,-37830116,144914368,180
1,10710,733,474,0,1102,1009,8504,0,-37830116,144914391,180
1,10873,728,474,0,1105,1009,8765,0,-37830116,144914415,190
1,10915,727,474,0,1117,1021,8991,0,-37830116,144914436,190
1,11082,723,474,0,1121,1028,9264,0,-37830117,144914460,190
1,10685,712,474,0,1131,1033,9538,0,-37830121,144914481,190
1,10608,700,474,0,1128,1016,9923,0,-37830124,144914505,190
1,10528,690,474,0,1137,1007,10337,0,-37830129,144914526,190
1,10422,687,474,0,1139,993,10633,0,-37830134,144914546,190
1,10748,691,474,0,1140,983,11144,0,-37830142,144914566,190
1,10938,693,474,0,1134,978,11528,0,-37830149,144914585,190
1,10999,701,474,0,1134,977,12125,0,-37830161,144914603,190
1,11023,712,474,0,1133,982,12509,0,-37830171,144914620,190
1,11068,718,474,0,1123,978,12964,0,-37830182,144914635,190
1,11066,723,474,0,1126,981,13502,0,-37830196,144914650,190
1,11156,733,474,0,1113,985,13853,0,-37830211,144914663,190
1,11146,740,474,0,1114,982,14308,0,-37830226,144914675,190
