Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,12242,822,457,0,863,1028,6390,0,-37831086,144913766,160
1,12036,814,457,0,855,1033,6110,0,-37831086,144913766,160
1,11850,802,458,0,849,1033,5797,0,-37831074,144913788,160
1,11668,789,458,0,845,1032,5475,0,-37831062,144913808,160
1,11536,778,458,0,842,1030,5104,0,-37831049,144913826,160
1,11346,766,459,0,841,1018,4762,0,-37831034,144913845,160
1,11472,755,459,0,845,1007,4416,0,-37831021,144913860,160
1,11785,751,459,0,853,1003,3939,0,-37831004,144913875,160
1,11916,752,459,0,867,994,3483,0,-37830989,144913886,160
1,11926,749,459,0,882,983,3003,0,-37830972,144913895,150
1,11655,752,459,0,885,968,2568,0,-37830956,144913905,150
1,11545,764,460,0,897,977,2186,0,-37830937,144913911,150
1,11659,775,460,0,904,983,1731,0,-37830919,144913916,150
1,11904,781,460,0,914,983,1389,0,-37830901,144913921,150
1,11985,785,460,0,914,976,1122,0,-37830881,144913925,150
1,12057,793,460,0,925,970,922,0,-37830861,144913928,150
1,12143,803,460,0,931,978,600,0,-37830841,144913928,150
1,12274,814,460,0,940,986,348,0,-37830821,144913928,150
1,12396,821,460,0,941,1013,134,0,-37830801,144913928,150
1,12430,822,460,0,949,1024,10,0,-37830781,144913926,150
1,11760,812,460,0,960,1042,35831,0,-37830761,144913925,150
1,11492,796,460,0,968,1032,35668,0,-37830739,144913923,150
1,10750,781,460,0,972,1037,35518,0,-37830719,144913920,150
1,11225,769,460,0,972,1034,35414,0,-37830699,144913916,150
1,10984,758,460,0,968,1045,35301,0,-37830681,144913913,150
1,11011,743,460,0,958,1054,35210,0,-37830661,144913910,150
1,10404,726,460,0,950,1050,35166,0,-37830642,144913906,150
1,9683,705,460,0,940,1046,35106,0,-37830624,144913901,150
1,9746,687,460,0,932,1044,35044,0,-37830607,144913898,150
1,9759,674,460,0,924,1054,34893,0,-37830589,144913893,150
1,9471,656,460,0,915,1065,34715,0,-37830574,144913888,140
1,9386,634,460,0,907,1062,34493,0,-37830557,144913881,150
1,9045,610,460,0,901,1065,34266,0,-37830541,144913873,150
1,8747,587,460,0,899,1062,33988,0,-37830527,144913865,150
1,8384,565,460,0,901,1064,33627,0,-37830514,144913856,150
1,8132,541,460,0,903,1057,33213,0,-37830501,144913845,150
1,7964,519,460,0,897,1046,32682,0,-37830491,144913833,150
1,7864,500,460,0,896,1034,32154,0,-37830481,144913821,150
1,7866,486,460,0,895,1029,31561,0,-37830472,144913808,150
1,7828,476,460,0,893,1016,30946,0,-37830466,144913795,150
1,7838,466,460,0,887,1010,30402,0,-37830461,144913780,150
1,7846,462,460,0,894,1001,29696,0,-37830457,144913766,150
1,8081,462,460,0,895,1001,28787,0,-37830454,144913750,150
1,8201,460,460,0,896,996,27947,0,-37830454,144913735,150
1,7830,460,460,0,897,983,27189,0,-37830456,144913720,140
1,7759,463,460,0,910,976,26460,0,-37830459,144913705,150
1,7779,471,460,0,916,964,25462,0,-37830464,144913691,150
1,7858,482,460,0,924,966,24792,0,-37830469,144913678,150
1,7863,495,460,0,929,962,23993,0,-37830476,144913665,150
1,7899,508,460,0,933,960,23317,0,-37830484,144913653,150
1,8127,520,460,0,937,961,22691,0,-37830494,144913643,150
1,8313,536,460,0,950,963,22288,0,-37830504,144913633,150
1,8528,549,460,0,973,967,21915,0,-37830514,144913623,150
1,8643,560,460,0,998,966,21523,0,-37830526,144913613,150
1,8701,573,460,0,1032,969,21161,0,-37830537,144913605,150
1,8884,585,459,0,1056,977,20779,0,-37830551,144913598,150
1,9135,595,460,0,1080,982,20556,0,-37830564,144913591,150
1,9441,602,460,0,1094,981,20592,0,-37830577,144913583,150
1,9795,606,460,0,1096,969,20794,0,-37830591,144913573,150
1,9943,614,460,0,1105,971,21075,0,-37830604,144913563,150
1,9874,628,461,0,1106,972,21499,0,-37830616,144913550,150
1,10036,638,461,0,1102,976,21826,0,-37830627,144913538,150
1,10063,645,461,0,1098,970,22362,0,-37830637,144913523,150
1,10172,656,460,0,1104,974,22825,0,-37830649,144913506,150
1,10393,667,460,0,1101,977,23108,0,-37830659,144913491,150
1,10463,675,460,0,1104,973,23642,0,-37830666,144913473,150
1,10640,683,460,0,1098,962,23941,0,-37830674,144913455,150
1,10822,694,461,0,1091,964,24332,0,-37830681,144913435,150
1,10889,709,461,0,1080,962,24658,0,-37830687,144913415,150
1,10980,722,460,0,1061,970,25006,0,-37830692,144913393,150
1,11055,733,460,0,1050,966,25422,0,-37830697,144913371,150
1,11214,745,461,0,1039,970,25716,0,-37830701,144913350,150
1,11346,756,461,0,1031,968,25960,0,-37830702,144913326,150
1,11505,767,461,0,1027,972,26139,0,-37830706,144913303,150
1,11655,778,462,0,1024,972,26274,0,-37830707,144913280,150
1,11773,788,462,0,1020,975,26353,0,-37830709,144913255,150
1,11930,797,462,0,1016,973,26458,0,-37830711,144913231,140
1,12074,807,462,0,1011,977,26527,0,-37830712,144913206,150
1,12180,816,462,0,1005,977,26583,0,-37830714,144913181,150
1,12338,824,462,0,997,979,26643,0,-37830716,144913155,150
1,12445,832,462,0,993,980,26682,0,-37830716,144913130,150
1,12578,840,462,0,989,978,26725,0,-37830717,144913103,150
1,12674,847,462,0,988,979,26739,0,-37830717,144913078,150
1,12790,855,462,0,987,978,26733,0,-37830719,144913051,140
1,12903,863,463,0,992,982,26715,0,-37830719,144913023,140
1,13003,870,463,0,995,979,26667,0,-37830721,144912996,140
1,13089,877,463,0,1000,990,26659,0,-37830722,144912970,140
1,13189,885,463,0,1008,1007,26628,0,-37830724,144912941,140
1,13256,887,463,0,1016,1027,26608,0,-37830726,144912915,140
1,12858,878,463,0,1023,1039,26589,0,-37830727,144912886,140
1,12578,866,463,0,1034,1043,26595,0,-37830729,144912858,140
1,12360,851,463,0,1046,1048,26613,0,-37830731,144912830,140
1,12002,834,462,0,1059,1050,26638,0,-37830731,144912803,150
1,11632,816,462,0,1071,1045,26702,0,-37830732,144912776,150
1,11443,798,462,0,1084,1040,26776,0,-37830732,144912750,150
1,11276,782,461,0,1093,1040,26864,0,-37830732,144912725,150
1,11250,770,461,0,1102,1044,27024,0,-37830732,144912700,150
1,11074,755,461,0,1109,1045,27215,0,-37830731,144912675,150
1,10816,737,461,0,1116,1040,27463,0,-37830729,144912651,150
1,10598,722,461,0,1122,1043,27714,0,-37830726,144912628,150
1,10467,709,461,0,1123,1052,28013,0,-37830721,144912605,150
1,10245,692,462,0,1122,1059,28352,0,-37830716,144912583,150
1,9865,671,462,0,1122,1055,28727,0,-37830711,144912563,150
1,9616,650,462,0,1124,1052,29141,0,-37830702,144912543,150
1,9372,631,462,0,1119,1044,29577,0,-37830696,144912525,150
1,9420,613,462,0,1120,1038,30075,0,-37830686,144912508,150
1,9189,598,462,0,1119,1031,30526,0,-37830677,144912491,150
1,8900,587,462,0,1117,1040,30997,0,-37830666,144912478,150
1,8921,576,462,0,1114,1040,31571,0,-37830654,144912466,150
1,8766,560,463,0,1113,1042,32193,0,-37830642,144912456,150
1,8680,544,463,0,1107,1031,32716,0,-37830631,144912446,150
1,8388,532,463,0,1107,1026,33311,0,-37830617,144912440,150
1,8334,520,464,0,1103,1012,33870,0,-37830604,144912435,150
1,8356,513,464,0,1108,1004,34534,0,-37830592,144912433,140
1,8620,511,463,0,1101,997,35238,0,-37830579,144912431,140
1,8644,511,463,0,1100,996,35886,0,-37830566,144912433,140
1,8752,512,464,0,1103,995,456,0,-37830552,144912435,140
1,8661,514,464,0,1108,991,1086,0,-37830541,144912440,140
1,8762,516,464,0,1101,983,1723,0,-37830529,144912445,140
1,8703,519,464,0,1108,975,2606,0,-37830517,144912455,140
1,8679,528,464,0,1108,967,3045,0,-37830506,144912463,140
1,8665,538,464,0,1094,968,3553,0,-37830496,144912473,140
1,8614,550,463,0,1079,963,4258,0,-37830487,144912486,140
1,8509,563,464,0,1067,970,4965,0,-37830479,144912500,140
1,8594,575,463,0,1053,965,5562,0,-37830472,144912515,140
1,8759,586,464,0,1045,970,6129,0,-37830467,144912531,140
1,8973,597,464,0,1039,965,6549,0,-37830461,144912548,140
1,9201,609,464,0,1033,968,6786,0,-37830456,144912566,140
1,9382,620,464,0,1025,966,7013,0,-37830451,144912583,140
1,9513,633,464,0,1019,967,7223,0,-37830447,144912603,140
1,9707,644,464,0,1011,963,7407,0,-37830442,144912621,140
1,9892,656,464,0,1008,964,7581,0,-37830439,144912640,140
1,10080,670,464,0,1005,963,7657,0,-37830436,144912660,140
1,10258,683,464,0,1004,968,7720,0,-37830432,144912681,140
1,10438,694,464,0,1001,971,7753,0,-37830429,144912701,140
1,10606,706,464,0,998,967,7796,0,-37830426,144912723,140
1,10754,715,464,0,993,967,7805,0,-37830421,144912745,140
1,10950,727,464,0,988,968,7814,0,-37830417,144912766,140
1,11148,741,464,0,985,972,7826,0,-37830414,144912788,140
1,11286,750,464,0,988,974,7842,0,-37830411,144912810,140
1,11426,759,464,0,990,966,7832,0,-37830407,144912833,140
1,11583,770,464,0,995,969,7790,0,-37830402,144912856,140
1,11714,782,464,0,998,972,7724,0,-37830399,144912880,140
1,11867,794,464,0,1001,979,7667,0,-37830394,144912903,140
1,11964,802,465,0,1002,983,7642,0,-37830389,144912928,140
1,12082,808,465,0,1004,981,7671,0,-37830384,144912953,140
1,12234,814,464,0,1004,983,7662,0,-37830381,144912976,140
1,12274,821,465,0,1004,981,7665,0,-37830376,144913001,140
1,12366,827,465,0,1001,988,7653,0,-37830371,144913026,140
1,12432,833,465,0,995,986,7668,0,-37830366,144913051,140
1,12492,837,465,0,995,984,7705,0,-37830361,144913078,140
1,12591,841,465,0,993,979,7717,0,-37830356,144913103,140
1,12684,849,465,0,992,981,7721,0,-37830352,144913130,140
1,12768,857,465,0,994,982,7709,0,-37830347,144913155,140
1,12850,863,465,0,997,986,7691,0,-37830342,144913181,140
1,12936,869,465,0,994,982,7661,0,-37830337,144913208,140
1,13049,874,465,0,997,983,7667,0,-37830332,144913235,140
1,13123,880,466,0,999,980,7652,0,-37830327,144913260,140
1,13224,887,466,0,1000,982,7628,0,-37830322,144913288,140
1,13318,894,466,0,1000,980,7632,0,-37830317,144913315,140
1,13416,900,467,0,1003,983,7637,0,-37830311,144913341,140
1,13495,907,467,0,1001,982,7614,0,-37830306,144913370,140
